Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Julius Randle,26,NYK,PF,71,71,2667,8.1,17.8,.456,2.2,5.3,.411,6.0,12.6,.474,.516,4.7,5.8,.811,1.1,8.6,9.8,5.8,0.9,0.2,3.3,3.0,23.1,MVP-8MIP-1ASNBA2,randlju01
2,RJ Barrett,20,NYK,SG,72,72,2511,6.7,15.2,.441,1.8,4.4,.401,4.9,10.8,.457,.499,3.0,4.0,.746,1.0,5.0,5.9,3.1,0.8,0.3,2.0,2.7,18.1,,barrerj01
3,Nikola Jokić,25,DEN,C,72,72,2488,10.6,18.7,.566,1.3,3.4,.388,9.3,15.3,.606,.602,4.9,5.7,.868,3.0,8.3,11.3,8.7,1.4,0.7,3.2,2.8,27.5,MVP-1ASNBA1,jokicni01
4,Buddy Hield,28,SAC,SG,71,71,2433,6.0,14.7,.406,4.2,10.7,.391,1.8,4.0,.446,.548,1.3,1.5,.846,0.4,4.5,4.9,3.8,0.9,0.4,1.9,2.6,17.4,,hieldbu01
5,Damian Lillard,30,POR,PG,67,67,2398,9.0,20.0,.451,4.1,10.6,.391,4.9,9.5,.519,.554,6.7,7.3,.928,0.5,3.8,4.2,7.6,0.9,0.3,3.0,1.5,28.9,MVP-7ASNBA2,lillada01
6,Terry Rozier,26,CHO,SG,69,69,2383,7.7,17.1,.450,3.4,8.6,.389,4.4,8.5,.512,.548,2.5,3.1,.817,0.7,3.9,4.6,4.4,1.3,0.4,1.9,1.8,21.3,,roziete01
7,Russell Westbrook,32,WAS,PG,65,65,2369,8.3,18.8,.439,1.3,4.1,.315,7.0,14.7,.475,.474,4.1,6.3,.656,1.7,9.7,11.4,11.6,1.4,0.3,4.7,2.9,22.0,MVP-11,westbru01
8,Andrew Wiggins,25,GSW,PF,71,71,2364,7.7,16.1,.477,2.1,5.6,.380,5.6,10.5,.529,.543,2.6,3.6,.714,1.2,4.0,5.3,2.5,1.0,1.1,1.9,2.4,20.1,,wiggian01
9,Mikal Bridges,24,PHO,SF,72,72,2348,5.6,10.3,.543,2.1,4.8,.425,3.5,5.4,.647,.643,1.7,2.0,.840,1.2,3.6,4.7,2.3,1.2,1.0,0.9,1.8,14.9,,bridgmi01
10,Nikola Vučević,30,2TM,C,70,70,2348,10.2,21.4,.477,2.7,6.7,.400,7.5,14.7,.513,.540,2.0,2.4,.840,2.2,10.3,12.5,4.1,1.0,0.7,1.9,2.1,25.1,AS,vucevni01
10,Nikola Vučević,30,ORL,C,44,44,1500,10.5,21.8,.480,2.8,6.9,.406,7.7,14.9,.515,.545,2.2,2.6,.827,2.1,10.3,12.4,4.0,1.0,0.7,2.0,1.9,25.9,,vucevni01
10,Nikola Vučević,30,CHI,C,26,26,848,9.8,20.7,.471,2.5,6.5,.388,7.3,14.3,.509,.532,1.7,2.0,.870,2.5,10.2,12.7,4.3,1.0,0.8,1.8,2.5,23.7,,vucevni01
11,Anthony Edwards,19,MIN,SG,72,55,2314,7.9,18.8,.417,2.7,8.1,.329,5.2,10.8,.483,.488,3.3,4.2,.776,0.9,4.3,5.2,3.3,1.3,0.6,2.5,2.0,21.7,ROY-2,edwaran01
12,Jayson Tatum,22,BOS,SF,64,64,2290,9.5,20.7,.459,2.9,7.6,.386,6.6,13.1,.502,.530,4.6,5.3,.868,0.8,6.6,7.4,4.3,1.2,0.5,2.7,1.9,26.6,AS,tatumja01
13,Devin Booker,24,PHO,SG,67,67,2270,9.9,20.4,.484,2.0,5.9,.340,7.9,14.5,.543,.533,5.4,6.2,.867,0.5,3.9,4.5,4.6,0.8,0.3,3.3,2.9,27.2,AS,bookede01
14,Khris Middleton,29,MIL,SF,68,68,2269,8.1,17.0,.476,2.4,5.8,.414,5.7,11.2,.508,.546,3.4,3.7,.898,0.9,5.6,6.4,5.9,1.2,0.1,2.8,2.5,22.0,,middlkh01
15,Duncan Robinson,26,MIA,SF,72,72,2262,5.0,11.4,.439,4.0,9.8,.408,1.0,1.7,.625,.614,1.0,1.2,.827,0.1,3.9,4.0,2.0,0.7,0.3,1.3,2.9,15.0,,robindu01
16,Luka Dončić,21,DAL,PG,66,66,2262,10.3,21.5,.479,3.1,8.7,.350,7.2,12.8,.567,.550,5.5,7.5,.730,0.9,7.5,8.4,9.0,1.0,0.6,4.5,2.4,29.1,MVP-6ASNBA1,doncilu01
17,Robert Covington,30,POR,PF,70,70,2243,3.3,8.2,.401,2.2,5.7,.379,1.1,2.5,.451,.533,0.8,1.0,.806,1.0,6.5,7.5,1.9,1.6,1.3,1.0,3.1,9.5,,covinro01
18,Royce O'Neale,27,UTA,SF,71,71,2241,2.8,6.3,.444,1.7,4.5,.385,1.1,1.9,.586,.580,0.6,0.7,.848,1.4,6.4,7.8,2.9,0.9,0.5,1.3,2.9,8.0,,onealro01
19,Domantas Sabonis,24,IND,PF,62,62,2231,7.8,14.6,.535,0.8,2.6,.321,7.0,12.0,.582,.564,3.9,5.3,.732,2.4,9.6,12.0,6.7,1.2,0.5,3.4,3.3,20.3,AS,sabondo01
20,Bojan Bogdanović,31,UTA,SF,72,72,2216,6.6,15.0,.439,2.9,7.5,.390,3.7,7.5,.487,.536,3.8,4.3,.879,0.6,3.9,4.6,2.2,0.7,0.1,2.1,1.9,19.9,,bogdabo02
21,Norman Powell,27,2TM,SG,69,58,2205,7.2,15.0,.477,2.8,6.8,.411,4.4,8.2,.532,.570,3.9,4.4,.871,0.7,2.8,3.5,2.1,1.3,0.3,1.9,2.6,20.9,,powelno01
21,Norman Powell,27,TOR,SG,42,31,1277,7.9,16.0,.498,3.3,7.6,.439,4.6,8.4,.552,.602,4.0,4.6,.865,0.5,3.0,3.6,2.2,1.3,0.2,2.2,2.8,23.2,,powelno01
21,Norman Powell,27,POR,SF,27,27,928,6.1,13.7,.443,2.1,5.7,.361,4.0,8.0,.502,.518,3.7,4.2,.880,0.9,2.6,3.5,2.0,1.4,0.4,1.6,2.4,17.8,,powelno01
22,Chris Paul,35,PHO,PG,70,70,2199,7.2,14.4,.499,1.7,4.2,.395,5.5,10.2,.543,.557,2.8,3.0,.934,0.4,4.7,5.1,10.2,1.6,0.3,2.6,2.7,18.8,MVP-5ASNBA2,paulch01
23,Rudy Gobert,28,UTA,C,71,71,2187,6.4,9.5,.675,0.0,0.1,.000,6.4,9.5,.680,.675,3.8,6.2,.623,4.0,11.9,15.8,1.5,0.7,3.1,1.9,2.7,16.7,MVP-10DPOY-1ASNBA3DEF1,goberru01
24,Justin Holiday,31,IND,SG,72,52,2183,4.3,10.3,.413,2.9,7.5,.382,1.4,2.8,.494,.551,1.1,1.4,.788,0.5,3.7,4.2,2.0,1.2,0.7,0.9,2.2,12.5,,holidju01
25,Isaac Okoro,20,CLE,SG,67,67,2173,3.9,9.3,.420,1.0,3.5,.290,2.9,5.7,.501,.476,1.9,2.6,.726,1.1,2.3,3.4,2.1,1.0,0.4,1.4,3.1,10.7,,okorois01
26,Coby White,20,CHI,PG,69,54,2156,6.3,15.1,.416,2.7,7.6,.359,3.5,7.5,.473,.506,2.1,2.4,.901,0.5,4.3,4.7,5.5,0.6,0.3,2.6,3.0,17.4,,whiteco01
27,Stephen Curry,32,GSW,PG,63,63,2152,11.0,22.8,.482,5.6,13.4,.421,5.4,9.4,.569,.605,6.1,6.6,.916,0.5,5.3,5.8,6.1,1.3,0.1,3.6,2.0,33.7,MVP-3ASNBA1,curryst01
28,Bradley Beal,27,WAS,SG,60,60,2147,11.2,23.2,.485,2.2,6.3,.349,9.1,16.9,.535,.532,6.8,7.7,.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.5,ASNBA3,bealbr01
29,Bam Adebayo,23,MIA,C,64,64,2143,7.7,13.4,.570,0.0,0.1,.250,7.6,13.3,.573,.571,4.8,5.9,.799,2.4,7.2,9.6,5.8,1.3,1.1,2.8,2.4,20.1,DPOY-4DEF2,adebaba01
30,Joe Harris,29,BRK,SF,69,65,2141,6.0,11.9,.505,3.5,7.5,.475,2.5,4.4,.555,.654,0.8,1.1,.778,0.7,3.4,4.2,2.2,0.8,0.2,1.0,2.4,16.4,,harrijo01
31,Dejounte Murray,24,SAS,PG,67,67,2139,7.4,16.4,.453,1.1,3.3,.317,6.4,13.0,.488,.485,1.8,2.3,.791,1.0,7.0,8.0,6.1,1.7,0.1,2.0,2.3,17.7,,murrade01
32,Kevin Huerter,22,ATL,SG,69,49,2126,5.4,12.4,.432,2.4,6.5,.363,3.0,5.8,.510,.528,0.8,1.1,.781,0.6,3.3,3.9,4.1,1.4,0.3,1.3,2.8,13.9,,huertke01
33,Trae Young,22,ATL,PG,63,63,2125,8.3,18.8,.438,2.3,6.7,.343,5.9,12.1,.491,.499,8.2,9.2,.886,0.6,3.5,4.2,10.1,0.9,0.2,4.4,1.9,27.0,,youngtr01
34,Deandre Ayton,22,PHO,C,69,69,2115,7.3,11.7,.626,0.1,0.3,.200,7.3,11.4,.639,.629,2.3,2.9,.769,3.9,8.5,12.4,1.7,0.7,1.4,1.8,3.3,17.0,,aytonde01
35,Collin Sexton,22,CLE,SG,60,60,2115,8.9,18.8,.475,1.7,4.5,.371,7.3,14.3,.508,.519,5.3,6.5,.815,1.0,2.2,3.2,4.5,1.1,0.2,2.8,2.7,24.9,,sextoco01
36,Eric Bledsoe,31,NOP,SG,71,70,2111,5.2,12.4,.421,2.1,6.1,.341,3.2,6.4,.496,.503,2.3,3.3,.687,0.5,3.7,4.2,4.6,0.9,0.4,1.9,1.9,14.8,,bledser01
37,Harrison Barnes,28,SAC,PF,58,58,2102,5.5,11.0,.497,1.7,4.4,.391,3.8,6.6,.567,.575,3.3,4.0,.830,1.1,5.5,6.6,3.4,0.7,0.2,1.6,1.3,16.0,,barneha02
38,Brandon Ingram,23,NOP,SF,61,61,2093,8.8,18.9,.466,2.5,6.5,.381,6.4,12.5,.510,.531,4.8,5.5,.878,0.6,4.6,5.1,5.1,0.7,0.6,2.6,2.1,24.9,,ingrabr01
39,DeMar DeRozan,31,SAS,PF,61,61,2056,8.0,16.1,.495,0.3,1.3,.257,7.6,14.8,.515,.505,6.8,7.7,.880,0.7,3.8,4.5,7.4,1.0,0.3,2.1,2.2,23.0,,derozde01
40,Ja Morant,21,MEM,PG,63,63,2053,7.5,16.8,.449,1.3,4.2,.303,6.3,12.6,.499,.487,4.8,6.5,.728,1.0,3.4,4.4,8.2,1.0,0.2,3.6,1.5,21.1,,moranja01
41,Jae'Sean Tate,25,HOU,SF,70,58,2043,5.6,11.0,.506,1.1,3.4,.308,4.5,7.6,.595,.554,1.8,2.6,.694,2.3,4.3,6.6,3.1,1.5,0.6,1.7,3.9,14.0,,tateja01
