Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Dist.,0-3,3-10,10-16,16-3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,Att.,Md.
1,Mikal Bridges,25,PHO,SF,82,82,2854,5.8,10.8,0.534,1.5,3.9,0.369,4.3,6.9,0.628,0.601,1.7,2.0,0.834,0.9,3.4,4.4,2.3,1.2,0.5,0.9,1.9,14.7,DPOY-2DEF1,bridgmi01,14.4,0.627,0.364,0.183,2.9,10.0,6.5,8.7,1.6,1.1,6.8,15.0,5.2,3.7,8.9,0.15,0.5,1.1,1.6,2.6,13.2,0.224,0.203,0.155,0.045,0.628,0.792,0.621,0.504,0.256,0.369,0.752,0.974,0.064,52,0.551,0,0
2,Miles Bridges,23,CHO,PF,80,80,2837,7.6,15.4,0.491,2.0,5.9,0.331,5.6,9.5,0.59,0.554,3.4,4.2,0.802,1.1,6.0,7.1,3.8,0.9,0.9,1.9,2.4,20.5,,bridgmi02,17.9,0.593,0.383,0.274,3.3,17.8,10.4,15.7,1.3,2.2,9.9,22.6,5.0,2.3,7.2,0.123,1.8,-0.3,1.5,2.5,12.4,0.357,0.212,0.02,0.029,0.59,0.723,0.412,0.458,0.343,0.331,0.597,0.825,0.107,118,0.275,6,0
3,DeMar DeRozan,32,CHI,PF,76,76,2743,10.2,20.1,0.504,0.7,1.9,0.352,9.5,18.3,0.52,0.521,6.8,7.8,0.877,0.7,4.4,5.1,4.9,0.9,0.3,2.4,2.3,27.8,MVP-10ASNBA2,derozde01,23.1,0.59,0.093,0.386,2.3,13.7,8.0,23.3,1.2,0.8,9.2,31.8,7.0,1.8,8.8,0.154,3.4,-0.9,2.5,3.1,13.0,0.164,0.158,0.297,0.288,0.52,0.671,0.494,0.511,0.457,0.352,0.217,0.9,0.026,33,0.387,4,0
4,Jayson Tatum,23,BOS,SF,76,76,2731,9.3,20.6,0.453,3.0,8.6,0.353,6.3,12.0,0.524,0.526,5.3,6.2,0.853,1.1,6.9,8.0,4.4,1.0,0.6,2.9,2.3,27.0,MVP-6ASNBA1,tatumja01,21.8,0.578,0.416,0.3,3.5,20.2,12.1,21.1,1.4,1.6,10.9,32.1,5.0,4.6,9.6,0.169,4.3,0.6,5.0,4.8,15.0,0.219,0.169,0.087,0.1,0.524,0.746,0.4,0.331,0.41,0.353,0.425,0.565,0.052,76,0.117,2,0
5,Saddiq Bey,22,DET,SF,82,82,2704,6.0,15.1,0.396,2.8,8.1,0.346,3.2,7.0,0.454,0.489,2.8,3.4,0.827,1.4,4.4,5.9,3.1,1.0,0.2,1.3,1.7,17.6,,beysa01,14.0,0.529,0.537,0.224,4.1,14.1,8.8,13.8,1.3,0.5,7.1,21.3,2.4,1.6,4.0,0.071,0.9,-1.2,-0.3,1.2,17.4,0.166,0.157,0.072,0.068,0.454,0.619,0.348,0.329,0.429,0.346,0.431,0.891,0.021,23,0.252,9,0
6,Tyrese Haliburton,21,2TM,PG,77,77,2695,5.7,12.1,0.473,2.2,5.2,0.414,3.6,6.9,0.517,0.562,2.1,2.5,0.842,0.8,3.3,4.2,8.4,1.8,0.7,2.7,1.6,15.8,,halibty01,18.2,0.595,0.428,0.209,2.5,10.3,6.3,34.1,2.4,1.6,16.7,19.0,5.2,1.8,7.0,0.125,2.7,-0.1,2.6,3.1,16.5,0.127,0.183,0.157,0.099,0.517,0.713,0.41,0.517,0.456,0.414,0.279,0.571,0.026,24,0.136,9,0
6,Tyrese Haliburton,21,SAC,SG,51,51,1757,5.5,12.0,0.457,2.1,5.2,0.413,3.4,6.8,0.491,0.546,1.8,2.1,0.837,0.8,3.3,4.1,7.8,1.8,0.7,2.4,1.5,14.9,,halibty01,17.0,0.575,0.43,0.177,2.4,10.0,6.2,31.4,2.4,1.7,15.4,18.3,2.7,1.2,4.0,0.109,2.2,0.4,2.6,2.0,16.4,0.113,0.183,0.162,0.102,0.491,0.742,0.355,0.453,0.5,0.413,0.238,0.567,0.019,11,0.143,3,0
6,Tyrese Haliburton,21,IND,PG,26,26,938,6.2,12.4,0.502,2.2,5.3,0.416,4.0,7.1,0.565,0.59,2.8,3.3,0.849,0.8,3.5,4.3,9.6,1.8,0.6,3.2,1.9,17.4,,halibty01,20.5,0.629,0.424,0.266,2.6,10.9,6.7,38.9,2.5,1.4,18.9,20.3,2.5,0.6,3.0,0.156,3.8,-1.0,2.8,1.1,16.6,0.152,0.183,0.149,0.093,0.565,0.673,0.508,0.646,0.367,0.416,0.343,0.579,0.04,13,0.124,6,0
7,Russell Westbrook,33,LAL,PG,78,78,2678,7.4,16.6,0.444,1.1,3.6,0.298,6.3,13.0,0.485,0.476,3.6,5.4,0.667,1.5,6.3,7.8,7.4,1.0,0.3,4.0,3.2,19.4,,westbru01,15.0,0.512,0.215,0.324,4.4,18.8,11.6,31.6,1.3,0.7,17.3,27.3,-0.6,2.3,1.7,0.03,-0.7,-0.9,-1.6,0.2,10.5,0.329,0.231,0.105,0.109,0.485,0.623,0.389,0.377,0.37,0.298,0.23,0.633,0.021,17,0.174,0,0
8,Trae Young,23,ATL,PG,76,76,2652,9.7,21.0,0.46,3.2,8.3,0.382,6.5,12.7,0.512,0.536,6.8,7.5,0.904,0.7,3.2,3.9,10.0,1.0,0.1,4.1,1.7,29.3,ASNBA3,youngtr01,25.4,0.603,0.395,0.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,9.0,1.0,10.0,0.181,7.1,-2.0,5.2,4.8,16.3,0.155,0.199,0.113,0.124,0.512,0.619,0.451,0.463,0.518,0.382,0.138,0.219,0.0,0,0.048,1,0
